,address,bike_stands,last_update,lat,lng,name,status
146,2 RUE DU BUISSON SAINT LOUIS - 75010 PARIS,18,2017-09-29 22:55:27,48.87182588992616,2.372203224856393,10024 - BUISSON SAINT LOUIS,OPEN
147,204 RUE DES FILLETTES - 93300 AUBERVILLIERS,35,2017-09-29 22:59:20,48.906023,2.366039,32008 - EMGP-GARDINOUX (AUBERVILLIERS/ST-DENIS),OPEN
148,10 AVENUE BERTHIER ALBRECHT - 75008 PARIS,32,2017-09-29 23:00:42,48.87614039826388,2.301303138307601,08054 - HOCHE ALBRECHT,OPEN
149,FACE 119 RUE DE LILLE - 75007 PARIS,62,2017-09-29 22:57:57,48.86137389094257,2.320131276903925,07009 - ASSEMBLEE NATIONALE,OPEN
150,2 PLACE ANDRE MALRAUX - 75001 PARIS,20,2017-09-29 22:59:59,48.86397965515107,2.335599603893845,01015 - PLACE ANDRE MALRAUX,OPEN
151,4 RUE DE LA CONDAMINE - 75017 PARIS,37,2017-09-29 23:02:33,48.88790134553051,2.324400445437174,17002 - LA FOURCHE RUE DE LA CONDAMINE,OPEN
152,1 RUE JOSEPH DIJON - 75018 PARIS,38,2017-09-29 22:55:29,48.89373427753593,2.347517966604574,18030 - SIMPLON,OPEN
153,1 ALLEE DES HORTENSIAS - 93260 LES LILAS,22,2017-09-29 23:01:41,48.88217309420464,2.42327263606036,32605 - HORTENSIAS (LES LILAS),OPEN
154,18 AVENUE AUBERT - 94300 VINCENNES,49,2017-09-29 23:01:33,48.847550436310826,2.433432607923368,43005 - AUBERT (VINCENNES),OPEN
155,FACE 1 RUE JEAN COLLY - 75013 PARIS,20,2017-09-29 23:00:47,48.82783803264948,2.370530563855483,13045 - TOLBIAC ALBERT,OPEN
156,49 RUE DE BERRI - 75008 PARIS,34,2017-09-29 23:00:57,48.874810390028195,2.308314064189137,08034 - HAUSSMANN COURCELLES,OPEN
157,10 RUE DE CHOISEUL - 75002 PARIS,42,2017-09-29 22:58:06,48.869969733968915,2.3360394555421,02012 - QUATRE SEPTEMBRE,OPEN
158,FACE 41 AVENUE GEORGES BERNANOS - 75005 PARIS,30,2017-09-29 22:58:31,48.8401089566606,2.337296889737942,05029 - PORT ROYAL,OPEN
159,73 RUE DES PYRENEES - 75020 PARIS,31,2017-09-29 23:00:42,48.853246898211985,2.405871044529538,20008 - MARAICHERS,OPEN
160,26 RUE SAINT FERDINAND - 75017 PARIS,38,2017-09-29 22:55:41,48.87815529789739,2.288518047864942,17039 - PLACE SAINT FERDINAND,OPEN
161,41 AVENUE FELIX FAURE - 75015 PARIS,46,2017-09-29 22:54:32,48.841249336041045,2.288386600849503,15069 - BOUCICAUT FAURE,OPEN
162,22 AVENUE DES GOBELINS - 75005 PARIS,40,2017-09-29 23:00:08,48.83712603861059,2.351433329767636,05027 - GOBELINS,OPEN
163,82 AVENUE SAINT MANDE - 75012 PARIS,39,2017-09-29 22:54:47,48.84463462629767,2.405099826323643,12017 - ST MANDE NETTER,OPEN
164,ANGLE RUE GENERAL GOSSERAND ET AVENUE EDOUARD VAILLANT - 93500 PANTIN,20,2017-09-29 22:52:42,48.902691617981425,2.393255829334146,35003 - VAILLANT (PANTIN),OPEN
165,53 RUE DES HAIES - 75020 PARIS,22,2017-09-29 23:01:01,48.85386896766491,2.402426162238911,20116 - HAIES REUNION,OPEN
166,85 RUE PAJOL - 75018 PARIS,35,2017-09-29 23:02:28,48.89284571116732,2.363429016279767,18011 - HERBERT,OPEN
167,2 RUE DES CORDELIERES - 75013 PARIS,47,2017-09-29 22:55:10,48.83548071896613,2.348572461702221,13005 - ARAGO CORDELIERE - VERSION 2,OPEN
168,N° 12-14 RUE CLAUDE VELLEFAUX- 75010 PARIS,32,2017-09-29 22:58:49,48.87285913900304,2.370071706985146,10032 - DODU,OPEN
